scenario,policy,position,window_index,prompt_id,domain,hits,misses,hit_rate,cumulative_hit_rate
lru_break,lru,63,3,creative_004,creative,2516,4348,0.36655011655011654,0.35538199978748275
lru_break,lru,64,3,creative_005,creative,1808,3496,0.34087481146304677,0.35522645125294133
lru_break,lru,65,3,creative_006,creative,2387,4321,0.3558437686344663,0.3552347103218292
lru_break,lru,66,3,creative_001,creative,2623,4397,0.37364672364672363,0.35548894186513086
lru_break,lru,67,3,creative_002,creative,1817,4111,0.3065114709851552,0.3549244456887769
lru_break,lru,68,3,creative_003,creative,2242,4154,0.3505315822388993,0.3548704890076969
lru_break,lru,69,3,creative_004,creative,2516,4348,0.36655011655011654,0.355022441583648
lru_break,lru,70,3,creative_005,creative,1808,3496,0.34087481146304677,0.35488162793490663
lru_break,lru,71,3,creative_006,creative,2387,4321,0.3558437686344663,0.3548935886316632
lru_break,lru,72,4,code_001,code,3398,5806,0.369187309865276,0.35513330709464874
lru_break,lru,73,4,code_002,code,2953,5003,0.37116641528406236,0.35536241567342713
lru_break,lru,74,4,code_003,code,2574,5070,0.336734693877551,0.3551101330952077
lru_break,lru,75,4,code_004,code,2968,5300,0.358974358974359,0.35516592279054826
lru_break,lru,76,4,code_005,code,2921,5191,0.36008382642998027,0.3552346122853778
lru_break,lru,77,4,code_006,code,3055,5213,0.3694968553459119,0.3554347973707084
lru_break,lru,78,4,code_001,code,3396,5808,0.36897001303780963,0.35564303145789455
lru_break,lru,79,4,code_002,code,2953,5003,0.37116641528406236,0.35584676089050765
lru_break,lru,80,4,code_003,code,2574,5070,0.336734693877551,0.35560877072948227
lru_break,lru,81,4,code_004,code,2968,5300,0.358974358974359,0.3556534989584137
lru_break,lru,82,4,code_005,code,2921,5191,0.36008382642998027,0.3557105229753745
lru_break,lru,83,4,code_006,code,3055,5213,0.3694968553459119,0.35588904132759497
lru_break,lru,84,4,code_001,code,3396,5808,0.36897001303780963,0.356074922187639
lru_break,lru,85,4,code_002,code,2953,5003,0.37116641528406236,0.356258045230208
lru_break,lru,86,4,code_003,code,2574,5070,0.336734693877551,0.35603305834961524
lru_break,lru,87,4,code_004,code,2968,5300,0.358974358974359,0.3560692694839036
lru_break,lru,88,4,code_005,code,2921,5191,0.36008382642998027,0.3561171824885389
lru_break,lru,89,4,code_006,code,3055,5213,0.3694968553459119,0.35627798127798127
lru_break,lru,90,5,math_001,math,3353,5851,0.3642981312472838,0.3563838637680661
lru_break,lru,91,5,math_002,math,3417,6255,0.353287841191067,0.35634149930111086
lru_break,lru,92,5,math_003,math,3353,5851,0.3642981312472838,0.3564437740908329
lru_break,lru,93,5,math_004,math,1781,3679,0.3261904761904762,0.3562148302148302
lru_break,lru,94,5,math_005,math,2551,4937,0.3406784188034188,0.35605524370771535
lru_break,lru,95,5,math_006,math,2187,3897,0.3594674556213018,0.35608348569936005
lru_break,lru,96,5,math_001,math,3355,5849,0.3645154280747501,0.35618775830471494
lru_break,lru,97,5,math_002,math,3417,6255,0.353287841191067,0.3561505568023259
lru_break,lru,98,5,math_003,math,3353,5851,0.3642981312472838,0.3562488206805459
lru_break,lru,99,5,math_004,math,1781,3679,0.3261904761904762,0.35603529479113
lru_break,lru,100,5,math_005,math,2551,4937,0.3406784188034188,0.35588712794742944
lru_break,lru,101,5,math_006,math,2187,3897,0.3594674556213018,0.3559149765272621
lru_break,lru,102,5,math_001,math,3355,5849,0.3645154280747501,0.35601500149105114
lru_break,lru,103,5,math_002,math,3417,6255,0.353287841191067,0.35598207375227825
lru_break,lru,104,5,math_003,math,3353,5851,0.3642981312472838,0.3560765380172388
lru_break,lru,105,5,math_004,math,1781,3679,0.3261904761904762,0.3558764974427625
lru_break,lru,106,5,math_005,math,2551,4937,0.3406784188034188,0.3557382545443944
lru_break,lru,107,5,math_006,math,2187,3897,0.3594674556213018,0.3557656132430399
lru_break,lfu,0,0,code_001,code,1899,7305,0.20632333767926989,0.20632333767926989
lru_break,lfu,1,0,code_002,code,1919,6037,0.24120160884866768,0.2224941724941725
lru_break,lfu,2,0,code_003,code,1879,5765,0.24581371009942438,0.22968069666182875
lru_break,lfu,3,0,code_004,code,2018,6250,0.2440735365263667,0.23327890662796325
lru_break,lfu,4,0,code_005,code,1960,6152,0.2416173570019724,0.23492132867132867
lru_break,lfu,5,0,code_006,code,2099,6169,0.253870343492985,0.23808946048693683
lru_break,lfu,6,0,code_001,code,2378,6826,0.25836592785745327,0.24127114020731041
lru_break,lfu,7,0,code_002,code,1926,6030,0.2420814479638009,0.24136792169579055
